
page=0

w:abandon, q:69
w:ant, q:22
w:anti, q:2
w:anticipate, q:28
w:antique, q:22
w:anxiety, q:61
w:anxious, q:59
w:anxiously, q:11
w:any, q:1000
w:anybody, q:120
w:anyone, q:281
w:anything, q:712
w:anyway, q:31
w:anywhere, q:63
w:apart, q:98
w:apart from, q:39
w:apartment, q:16
w:ape, q:29
w:apologize, q:15
w:apparent, q:54
w:apparently, q:45
w:appeal, q:88
w:appear, q:420
w:appearance, q:129
w:appetite, q:74
w:apple, q:84
w:applicant, q:1
w:application, q:50
w:apply, q:57
w:appoint, q:36
w:appointment, q:14
w:appreciate, q:87
w:approach, q:144
w:approve, q:41
w:approximate, q:12
w:apricot, q:1
w:april, q:23
w:archbishop, q:5
w:architect, q:26
w:architecture, q:50
w:area, q:71
w:argue, q:52
w:argument, q:127
w:arise, q:69
w:aristocrat, q:11
w:arm, q:210
w:armchair, q:1
w:armour, q:7
w:army, q:100
w:around, q:476
w:arrange, q:37
w:arrest, q:39
w:arrival, q:17
w:arrive, q:107
w:arrow, q:28
w:art, q:1000
w:article, q:45
w:article of association, q:13
w:artificial, q:66
w:artist, q:300
w:as, q:1000
w:ash, q:42
w:ashamed, q:75
w:aside, q:70
w:ask, q:607
w:asleep, q:51
w:aspect, q:116
w:ass, q:38
w:assembly, q:19
w:asset, q:12
w:assist, q:27
w:assistant, q:4
w:associate, q:75
w:association, q:58
w:assume, q:145
w:assurance, q:34
w:assure, q:71
w:assured, q:31
w:astonish, q:60
w:at, q:1000
w:atmosphere, q:62
w:attach, q:57
w:attachment, q:26
w:attack, q:103
w:attempt, q:207
w:attend, q:127
w:attendant, q:15
w:attention, q:178
w:attitude, q:145
w:attractive, q:45
w:auction, q:3
w:audience, q:119
w:augment, q:9
w:augmentation, q:1
w:august, q:31
w:aunt, q:17
w:author, q:1000
w:authority, q:154
w:autumn, q:67
w:available, q:57
w:avenue, q:28
w:average, q:92
w:avoid, q:201
w:awake, q:78
w:award, q:9
w:aware, q:118
w:away, q:741
w:awful, q:78
w:awkward, q:31
w:axe, q:16
w:baby, q:130
w:babysitter, q:1
w:bachelor, q:23
w:back, q:837
w:backbone, q:6
w:background, q:30
w:backward, q:58
w:bad, q:505
w:badly, q:46
w:bag, q:44
w:baggage, q:7
w:bake, q:15
w:baker, q:48
w:balance, q:93
w:balcony, q:3
w:bald, q:26
w:bale, q:2
w:ball, q:80
w:ballerina, q:1
w:ballet, q:10
w:balloon, q:10
w:ban, q:10
w:banal, q:12
w:banana, q:8
w:band, q:43
w:bandage, q:3
w:baneful, q:2
w:banish, q:31
w:bank, q:113
w:banker, q:10
w:banknote, q:1
w:bankrupt, q:9
w:bar, q:68
w:barbarous, q:30
w:barber, q:6
w:bare, q:94
w:bargain, q:18
w:barrel, q:26
w:base, q:98
w:basement, q:3
w:basin, q:4
w:basket, q:19
w:bastardize, q:1
w:bath, q:26
w:bathe, q:21
w:battery, q:4
w:battle, q:167
w:bawl, q:4
w:bay, q:39
w:beach, q:42
w:bean, q:26
w:bear, q:392
w:beard, q:31
w:beast, q:115
w:beat, q:176
w:beautiful, q:391
w:beauty, q:461
w:because, q:1000
w:become, q:1000
w:bed, q:227
w:bee, q:48
w:beef, q:11
w:beer, q:31
w:beetle, q:8
w:before, q:1000
w:beforehand, q:6
w:beg, q:65
w:begin, q:480
w:behave, q:70
w:behind, q:357
w:being, q:1000
w:believe, q:880
w:bell, q:140
w:belong, q:279
w:below, q:116
w:belt, q:23
w:bench, q:14
w:bend, q:71
w:beneath, q:146
w:benefit, q:83
w:berry, q:14
w:beside, q:151
w:besides, q:43
w:best, q:860
w:bet, q:23
w:better, q:1000
w:between, q:1000
w:beyond, q:385
w:bias, q:10
w:bicycle, q:11
w:big, q:279
w:bike, q:2
w:bill, q:96
w:bin, q:6
w:bind, q:78
w:bird, q:231
w:birth, q:180
w:birthday, q:22
w:biscuit, q:2
w:bishop, q:75
w:bit, q:147
w:bite, q:53
w:black, q:501
w:bladder, q:6
w:blade, q:25
w:blame, q:98
w:blank, q:34
w:blanket, q:17
w:blast, q:33
w:bless, q:223
w:blind, q:192
w:blister, q:2
w:block, q:56
w:blockade, q:1
w:blood, q:309
w:bloom, q:88
w:blouse, q:6
w:blow, q:182
w:blue, q:149
w:bluff, q:6
w:board, q:60
w:boast, q:40
w:boat, q:68
w:body, q:537
w:bodyguard, q:2
w:boil, q:46
w:boiler, q:1
w:bold, q:48
w:bolt, q:39
w:bomb, q:50
w:bone, q:160
w:bonfire, q:5
w:bonnet, q:8
w:bony, q:3
w:book, q:676
w:booklet, q:1
w:boom, q:17
w:boot, q:26
w:border, q:34
w:bore, q:119
w:bored, q:43
w:boring, q:33
w:born, q:388
w:borrow, q:64
w:boss, q:17
w:both, q:853
w:bother, q:53
w:bottle, q:44
w:bottom, q:144
w:bounce, q:14
w:bound, q:179
w:boundary, q:24
w:bow, q:64
w:bowl, q:27
w:box, q:60
w:boy, q:345
w:bra, q:23
w:brain, q:200
w:brake, q:7
w:branch, q:76
w:brand, q:34
w:brand-new, q:1
w:brass, q:20
w:brave, q:126
w:bread, q:143
w:break, q:362
w:break down, q:15
w:breakfast, q:41
w:breast, q:150
w:breath, q:135
w:breathe, q:109
w:bribe, q:15
w:brick, q:29
w:bride, q:35
w:bridge, q:81
w:brief, q:63
w:briefcase, q:1
w:bright, q:195
w:brilliant, q:64
w:bring, q:588
w:broad, q:100
w:broadcast, q:6
w:broken, q:165
w:broker, q:1
w:brooch, q:1
w:broom, q:7
w:brother, q:152
w:brother-in-law, q:1
w:brow, q:41
w:brown, q:138
w:brush, q:28
w:bucket, q:12
w:budget, q:13
w:build, q:338
w:building, q:145
w:bulb, q:9
w:bull, q:23
w:bullet, q:30
w:bump, q:10
w:bumper, q:5
w:bumpy, q:4
w:bunch, q:25
w:bungalow, q:1
w:bureau, q:7
w:bureaucracy, q:10
w:burglar, q:12
w:burn, q:178
w:burst, q:77
w:bury, q:34
w:bus, q:20
w:bush, q:41
w:business, q:361
w:busy, q:96
w:but, q:1000
w:butcher, q:11
w:butter, q:19
w:button, q:20
w:buy, q:142
w:by, q:1000
w:by the way, q:1000
w:cab, q:4
w:cabbage, q:10
w:cabin, q:17
w:cabinet, q:10
w:cable, q:6
w:cage, q:26
w:cake, q:15
w:calculate, q:32
w:calendar, q:12
w:calf, q:11
w:call, q:1000
w:calm, q:100
w:camel, q:11
w:camera, q:34
w:camouflage, q:2
w:camp, q:54
w:campaign, q:26
w:campus, q:1
w:can, q:1000
w:canal, q:9
w:canary, q:4
w:cancel, q:17
w:cancellation, q:1
w:cancer, q:24
w:candidate, q:31
w:candle, q:43
w:cannon, q:17
w:canteen, q:2
w:capable, q:161
w:capacity, q:118
w:capital, q:82
w:captain, q:59
w:capture, q:24
w:car, q:95
w:caravan, q:4
w:card, q:47
w:care, q:487
w:career, q:98
w:carefree, q:7
w:careful, q:73
w:careless, q:37
w:cargo, q:6
w:carnival, q:2
w:carpenter, q:21
w:carpet, q:17
w:carriage, q:16
w:carrier, q:7
w:carrot, q:9
w:carry, q:189
w:case, q:293
w:cash, q:22
w:castle, q:29
w:casual, q:33
w:cat, q:132
w:catch, q:157
w:caterpillar, q:4
w:cattle, q:29
w:cauliflower, q:2
w:cause, q:390
w:caution, q:25
w:cave, q:42
w:cease, q:180
w:ceiling, q:13
w:celebration, q:12
w:cell, q:48
w:cellar, q:13
w:cement, q:16
w:central, q:67
w:centre, q:47
w:century, q:160
w:cereal, q:2
w:ceremony, q:35
w:certain, q:562
w:certainly, q:187
w:certificate, q:8
w:chain, q:84
w:chair, q:47
w:chairman, q:1
w:chalk, q:8
w:challenge, q:75
w:chamber, q:42
w:champagne, q:14
w:champion, q:16
w:championship, q:1
w:chance, q:245
w:change, q:625
w:channel, q:47
w:chapter, q:20
w:character, q:432
w:charge, q:76
w:charity, q:61
w:charlatan, q:4
w:charm, q:102
w:charming, q:55
w:chart, q:7
w:charter, q:7
w:chase, q:44
w:chat, q:15
w:chatter, q:21
w:cheap, q:72
w:cheat, q:31
w:check, q:46
w:cheek, q:47
w:cheeky, q:2
w:cheer, q:37
w:cheerful, q:52
w:cheese, q:13
w:chef, q:2
w:chemical, q:15
w:cheque, q:10
w:cherry, q:9
w:chess, q:45
w:chest, q:21
w:chest of drawers, q:4
w:chestnut, q:10
w:chicken, q:37
w:chief, q:153
w:child, q:799
w:childhood, q:153
w:chilly, q:5
w:chimney, q:27
w:chin, q:14
w:china, q:26
w:chip, q:18
w:chocolate, q:7
w:choice, q:161
w:choke, q:18
w:choose, q:221
w:chop, q:15
w:christian, q:170
w:chuckle, q:5
w:church, q:238
w:cigar, q:13
w:cigarette, q:29
w:cinema, q:27
w:circle, q:100
w:circuit, q:14
w:circular, q:11
w:circumstances, q:127
w:circus, q:18
w:citizen, q:156
w:city, q:295
w:civic, q:15
w:civil, q:132
w:claim, q:194
w:clap, q:17
w:clasp, q:9
w:class, q:223
w:classic, q:42
w:clay, q:39
w:clean, q:105
w:clear, q:257
w:clerk, q:17
w:clever, q:63
w:client, q:13
w:climate, q:38
w:climb, q:118
w:clinic, q:3
w:clip, q:13
w:cloakroom, q:1
w:clock, q:77
w:close, q:305
w:cloth, q:17
w:clothes, q:119
w:cloud, q:158
w:clown, q:11
w:club, q:44
w:clue, q:12
w:clutch, q:34
w:co, q:5
w:co-operate, q:1
w:coach, q:12
w:coal, q:30
w:coast, q:32
w:coat, q:54
w:cobweb, q:7
w:cock, q:29
w:coconut, q:2
w:code, q:46
w:coffee, q:30
w:coffin, q:22
w:coin, q:18
w:cold, q:311
w:collapse, q:29
w:collar, q:11
w:colleague, q:11
w:collect, q:26
w:colonel, q:10
w:colour, q:49
w:column, q:31
w:coma, q:2
w:comb, q:9
w:come, q:1000
w:come across, q:12
w:comet, q:7
w:comfort, q:194
w:comfortable, q:62
w:command, q:120
w:commemorate, q:4
w:commence, q:20
w:commercial, q:38
w:commission, q:21
w:commit, q:97
w:commitment, q:34
w:common, q:538
w:communicate, q:63
w:community, q:138
w:commute, q:1
w:company, q:171
w:comparatively, q:35
w:compare, q:151
w:compass, q:33
w:compensate, q:24
w:compensation, q:22
w:compete, q:20
w:competition, q:49
w:complain, q:63
w:complete, q:181
w:complicated, q:45
w:compliment, q:43
w:components, q:3
w:compose, q:75
w:composition, q:48
w:compound, q:31
w:compromise, q:43
w:computer, q:36
w:concentrate, q:53
w:concept, q:103
w:concern, q:294
w:concert, q:12
w:conclude, q:62
w:conclusion, q:63
w:condemn, q:97
w:condition, q:310
w:conduct, q:103
w:cone, q:6
w:conference, q:10
w:confess, q:73
w:confidence, q:88
w:confine, q:32
w:conflict, q:96
w:confuse, q:84
w:congratulate, q:8
w:connect, q:72
w:conquer, q:102
w:conscience, q:198
w:conscious, q:139
w:consent, q:57
w:consequently, q:53
w:consider, q:426
w:consideration, q:66
w:consign, q:9
w:consist, q:167
w:consistent, q:31
w:constitute, q:99
w:constitution, q:102
w:construct, q:71
w:consul, q:3
w:consult, q:32
w:consultation, q:4
w:consume, q:57
w:consumption, q:28
w:contact, q:62
w:contain, q:162
w:container, q:4
w:content, q:188
w:contents, q:26
w:contest, q:41
w:continent, q:53
w:continuous, q:54
w:contract, q:27
w:contrary, q:75
w:contrast, q:79
w:contribute, q:66
w:control, q:213
w:convenience, q:29
w:convenient, q:24
w:conversation, q:138
w:convict, q:12
w:convince, q:109
w:cook, q:50
w:cool, q:76
w:cop, q:16
w:cope, q:39
w:copper, q:10
w:copy, q:37
w:cordon, q:1
w:cork, q:8
w:corn, q:44
w:corner, q:106
w:corpse, q:53
w:correct, q:79
w:correspondent, q:4
w:corridor, q:7
w:corruption, q:46
w:cosmetic, q:5
w:cost, q:106
w:costly, q:30
w:costume, q:12
w:cottage, q:16
w:cotton, q:22
w:cough, q:18
w:council, q:16
w:count, q:174
w:country, q:687
w:coupe, q:1
w:couple, q:72
w:courage, q:176
w:course, q:313
w:court, q:112
w:cousin, q:13
w:cover, q:181
w:cow, q:59
w:coward, q:60
w:crack, q:81
w:cracker, q:2
w:cramp, q:5
w:crane, q:73
w:crash, q:29
w:crazy, q:76
w:cream, q:22
w:creation, q:150
w:creature, q:219
w:credit, q:68
w:crime, q:175
w:criminal, q:73
w:crisis, q:48
w:crisp, q:49
w:critical, q:71
w:criticize, q:31
w:crocodile, q:4
w:crop, q:39
w:cross, q:102
w:crossing, q:17
w:crossroads, q:5
w:crow, q:29
w:crowd, q:152
w:crown, q:96
w:crucial, q:27
w:crude, q:36
w:cruel, q:99
w:cruise, q:9
w:crush, q:62
w:cry, q:168
w:cube, q:2
w:cucumber, q:1
w:cultivate, q:100
w:culture, q:264
w:cup, q:52
w:cure, q:96
w:curiosity, q:77
w:curious, q:97
w:curl, q:40
w:current, q:101
w:curse, q:106
w:curtain, q:42
w:curve, q:27
w:cushion, q:9
w:custom, q:100
w:customer, q:14
w:customs, q:30
w:cut, q:275
w:cycle, q:22
w:cylinder, q:4
w:dad, q:15
w:daily, q:204
w:daisy, q:11
w:dam, q:17
w:damage, q:26
w:damp, q:24
w:dance, q:169
w:danger, q:177
w:dangerous, q:201
w:dare, q:172
w:dark, q:342
w:darling, q:28
w:dash, q:30
w:date, q:49
w:daughter, q:173
w:day, q:1000
w:dead, q:585
w:deadline, q:3
w:deaf, q:34
w:deal, q:287
w:dear, q:231
w:death, q:841
w:debatable, q:1
w:debate, q:27
w:debt, q:62
w:decay, q:64
w:deceive, q:58
w:december, q:17
w:decent, q:64
w:decide, q:151
w:decision, q:103
w:declare, q:77
w:decline, q:44
w:decorate, q:12
w:decrease, q:15
w:deed, q:150
w:deep, q:355
w:deer, q:12
w:default, q:2
w:defeat, q:101
w:defence, q:36
w:defend, q:99
w:defer, q:2
w:deficit, q:6
w:definite, q:68
w:definition, q:73
w:degree, q:201
w:delay, q:28
w:deliberately, q:35
w:delicate, q:99
w:delicious, q:40
w:delight, q:178
w:delightful, q:53
w:deliver, q:76
w:demand, q:232
w:demolish, q:6
w:demonstrate, q:38
w:demonstration, q:16
w:demoralize, q:1
w:dentist, q:2
w:deny, q:97
w:depart, q:66
w:department, q:37
w:depend, q:197
w:dependent, q:55
w:deposit, q:19
w:depress, q:33
w:depth, q:108
w:deputy, q:2
w:describe, q:160
w:desert, q:102
w:deserve, q:121
w:design, q:134
w:desire, q:468
w:desk, q:19
w:despair, q:118
w:desperate, q:53
w:despite, q:71
w:dessert, q:2
w:destination, q:13
w:destroy, q:265
w:destruction, q:84
w:detach, q:28
w:detail, q:83
w:detective, q:19
w:determined, q:88
w:develop, q:217
w:development, q:163
w:devil, q:161
w:dew, q:53
w:diagram, q:6
w:dial, q:13
w:diameter, q:4
w:diamond, q:27
w:diary, q:14
w:dice, q:12
w:dictator, q:17
w:dictionary, q:17
w:die, q:695
w:diet, q:27
w:difference, q:361
w:different, q:484
w:difficult, q:259
w:dig, q:49
w:digest, q:14
w:dim, q:52
w:dinner, q:92
w:dip, q:23
w:diploma, q:7
w:diplomat, q:7
w:direct, q:212
w:direction, q:114
w:director, q:16
w:directory, q:2
w:dirt, q:47
w:dirty, q:87
w:disadvantage, q:17
w:disagree, q:14
w:disappear, q:52
w:disappoint, q:46
w:disaster, q:50
w:disc, q:8
w:discipline, q:76
w:disclose, q:16
w:discover, q:261
w:discuss, q:52
w:disease, q:138
w:disgust, q:34
w:dish, q:34
w:dismay, q:9
w:dismiss, q:23
w:disobey, q:4
w:dispatch, q:4
w:displace, q:16
w:display, q:59
w:dispose, q:56
w:dispute, q:28
w:distance, q:119
w:distant, q:122
w:distinct, q:63
w:distinction, q:134
w:distinguish, q:156
w:distribute, q:18
w:district, q:9
w:disturb, q:63
w:dive, q:21
w:diver, q:7
w:divide, q:113
w:division, q:53
w:divorce, q:48
w:dizzy, q:7
w:do, q:1000
w:dock, q:6
w:doctor, q:92
w:document, q:12
w:dog, q:244
w:doll, q:24
w:domestic, q:86
w:dominate, q:45
w:donate, q:3
w:donation, q:3
w:donkey, q:3
w:donor, q:1
w:doom, q:27
w:doomsday, q:8
w:door, q:261
w:dose, q:12
w:double, q:95
w:doubt, q:279
w:down, q:1000
w:doze, q:8
w:dozen, q:48
w:draft, q:12
w:drag, q:37
w:dragon, q:26
w:drain, q:36
w:drama, q:63
w:draught, q:18
w:draughts, q:6
w:draw, q:272
w:drawer, q:14
w:drawn, q:94
w:dreadful, q:63
w:dreadfully, q:8
w:dream, q:470
w:dress, q:164
w:drill, q:11
w:drink, q:274
w:drive, q:134
w:drop, q:176
w:drug, q:43
w:drum, q:25
w:drunk, q:87
w:dry, q:142
w:duck, q:30
w:duckling, q:1
w:due, q:135
w:duel, q:4
w:dull, q:159
w:dust, q:145
w:dustbin, q:3
w:duty, q:187
w:dye, q:7
w:dynamite, q:8
w:dynamo, q:3
w:each, q:1000
w:eager, q:32
w:eagle, q:34
w:ear, q:210
w:early, q:263
w:earn, q:114
w:earnest, q:45
w:earth, q:662
w:earthquake, q:18
w:ease, q:92
w:east, q:120
w:easy, q:270
w:eat, q:372
w:echo, q:44
w:economical, q:8
w:edge, q:101
w:editor, q:23
w:educate, q:94
w:eel, q:3
w:effect, q:275
w:efficient, q:22
w:effort, q:242
w:egg, q:61
w:elapse, q:6
w:elastic, q:14
w:elbow, q:19
w:elder, q:67
w:elect, q:13
w:election, q:41
w:electricity, q:14
w:elegant, q:26
w:elementary, q:13
w:elephant, q:26
w:else, q:533
w:elsewhere, q:51
w:embark, q:16
w:embarrassment, q:20
w:embassy, q:1
w:embrace, q:86
w:emerge, q:41
w:emergency, q:13
w:emigrate, q:5
w:emotion, q:135
w:emphasis, q:38
w:emphasize, q:19
w:emphatic, q:5
w:empire, q:83
w:employ, q:92
w:employee, q:11
w:employer, q:22
w:employment, q:62
w:empty, q:177
w:enclose, q:17
w:encourage, q:70
w:end, q:886
w:endorsement, q:2
w:enemy, q:185
w:energy, q:133
w:engage, q:107
w:engine, q:28
w:enjoy, q:266
w:enormous, q:81
w:enough, q:714
w:enter, q:273
w:enterprise, q:72
w:entertain, q:71
w:entertainment, q:46
w:entitle, q:57
w:entrance, q:21
w:envelope, q:10
w:epitaph, q:17
w:equal, q:267
w:equality, q:100
w:equalize, q:3
w:equip, q:3
w:equipment, q:20
w:erect, q:32
w:error, q:148
w:escalator, q:3
w:escape, q:192
w:escort, q:4
w:especial, q:5
w:essential, q:201
w:establish, q:161
w:estate, q:37
w:estimate, q:34
w:even, q:1000
w:evening, q:157
w:event, q:218
w:eventually, q:49
w:ever, q:1000
w:every, q:1000
w:evidence, q:94
w:evil, q:399
w:evolution, q:40
w:ex, q:4
w:exact, q:96
w:exactly, q:144
w:exaggerate, q:38
w:examine, q:48
w:example, q:113
w:exceed, q:41
w:excellent, q:84
w:except, q:320
w:exception, q:48
w:exchange, q:60
w:excite, q:56
w:exclaim, q:9
w:exclude, q:51
w:exclusive, q:34
w:excuse, q:94
w:execute, q:23
w:exercise, q:136
w:exhaust, q:65
w:exhibit, q:53
w:exhibition, q:9
w:exist, q:416
w:exit, q:13
w:expand, q:69
w:expansion, q:17
w:expect, q:322
w:expense, q:64
w:expensive, q:36
w:experience, q:591
w:experiment, q:67
w:expert, q:52
w:expire, q:10
w:explain, q:138
w:explanation, q:52
w:explode, q:13
w:explore, q:41
w:explosive, q:8
w:export, q:7
w:express, q:172
w:expression, q:215
w:extend, q:95
w:extension, q:37
w:extent, q:97
w:extinguish, q:26
w:extra, q:30
w:extract, q:29
w:extraordinary, q:76
w:extreme, q:119
w:eye, q:971
w:eyebrow, q:6
w:eyelash, q:2
w:eyelid, q:19
w:fable, q:28
w:fabulous, q:25
w:face, q:681
w:fact, q:727
w:factory, q:24
w:fade, q:64
w:fail, q:224
w:failure, q:170
w:faint, q:47
w:fair, q:273
w:fairly, q:75
w:faith, q:324
w:faithful, q:96
w:fake, q:21
w:fall, q:575
w:false, q:211
w:fame, q:110
w:familiar, q:116
w:family, q:438
w:famous, q:86
w:fan, q:23
w:fanatic, q:17
w:fancy, q:114
w:fantastic, q:31
w:far, q:839
w:fare, q:36
w:farm, q:65
w:farther, q:55
w:fashion, q:145
w:fast, q:131
w:fasten, q:31
w:fat, q:83
w:fate, q:168
w:father, q:468
w:fault, q:152
w:faultless, q:9
w:faulty, q:7
w:favour, q:31
w:favourable, q:8
w:favourite, q:16
w:fear, q:575
w:fearful, q:56
w:feather, q:38
w:feature, q:81
w:february, q:6
w:fed up, q:3
w:federal, q:31
w:fee, q:11
w:feed, q:151
w:feel, q:1000
w:fellow, q:233
w:female, q:171
w:fence, q:34
w:ferry, q:8
w:fertile, q:36
w:fertilize, q:4
w:festival, q:19
w:fetch, q:16
w:fever, q:26
w:few, q:686
w:fiction, q:112
w:field, q:326
w:fig, q:8
w:fight, q:305
w:figure, q:158
w:file, q:19
w:fill, q:358
w:film, q:74
w:final, q:169
w:finally, q:138
w:finance, q:10
w:find, q:1000
w:fine, q:286
w:finger, q:132
w:finish, q:132
w:fire, q:337
w:firm, q:74
w:first, q:1000
w:fiscal, q:1
w:fish, q:127
w:fist, q:22
w:fit, q:227
w:fix, q:138
w:flag, q:52
w:flake, q:12
w:flame, q:108
w:flash, q:76
w:flat, q:69
w:flavour, q:8
w:flea, q:17
w:flee, q:37
w:fleet, q:38
w:flesh, q:179
w:flight, q:57
w:float, q:58
w:flock, q:51
w:flood, q:54
w:floor, q:76
w:florist, q:1
w:flour, q:11
w:flower, q:282
w:fluent, q:5
w:fly, q:143
w:foam, q:14
w:fog, q:29
w:fold, q:38
w:folk, q:92
w:follow, q:457
w:fond, q:68
w:food, q:179
w:fool, q:253
w:foolish, q:99
w:foot, q:114
w:football, q:29
w:footprint, q:11
w:for, q:1000
w:forbid, q:37
w:force, q:437
w:forecast, q:5
w:forehead, q:20
w:foreign, q:151
w:foreman, q:2
w:forest, q:162
w:forever, q:213
w:forge, q:16
w:forget, q:287
w:forgive, q:109
w:fork, q:12
w:form, q:739
w:formal, q:51
w:former, q:132
w:forthwith, q:7
w:fortnight, q:7
w:fortune, q:189
w:forward, q:124
w:foul, q:70
w:found, q:629
w:foundation, q:100
w:fountain, q:48
w:fox, q:27
w:fragile, q:25
w:frame, q:93
w:frank, q:253
w:free, q:580
w:freedom, q:395
w:freeze, q:28
w:freight, q:9
w:fresh, q:152
w:friday, q:13
w:fridge, q:1
w:friend, q:574
w:friendly, q:77
w:fright, q:10
w:frighten, q:28
w:frog, q:23
w:from, q:1000
w:front, q:144
w:frontier, q:39
w:frown, q:17
w:fruit, q:204
w:fry, q:14
w:fugitive, q:16
w:full, q:605
w:full stop, q:1
w:fun, q:70
w:fund, q:17
w:fundamental, q:100
w:funeral, q:43
w:funny, q:58
w:fur, q:28
w:furnish, q:75
w:further, q:167
w:furthermore, q:3
w:fuse, q:14
w:fuss, q:18
w:future, q:370
w:gain, q:157
w:gallery, q:11
w:gamble, q:9
w:game, q:157
w:gang, q:31
w:gaol, q:2
w:gap, q:35
w:garage, q:5
w:garden, q:136
w:garlic, q:3
w:gas, q:46
w:gate, q:66
w:gather, q:151
w:gay, q:107
w:gear, q:9
w:general, q:351
w:generally, q:213
w:generous, q:75
w:genius, q:266
w:gentle, q:148
w:gentleman, q:106
w:germ, q:23
w:get, q:1000
w:ghost, q:110
w:gift, q:196
w:ginger, q:3
w:gipsy, q:2
w:girl, q:377
w:give, q:1000
w:glad, q:118
w:gladly, q:34
w:glass, q:96
w:globe, q:65
w:glorious, q:109
w:glory, q:196
w:glove, q:12
w:glue, q:9
w:go, q:1000
w:goal, q:129
w:goat, q:16
w:god, q:1000
w:gold, q:183
w:golden, q:176
w:goldfish, q:3
w:good, q:1000
w:good-looking, q:6
w:goose, q:45
w:gosh, q:3
w:gossip, q:44
w:govern, q:127
w:government, q:436
w:graduate, q:13
w:grain, q:70
w:grand, q:110
w:grape, q:25
w:grapefruit, q:1
w:grasp, q:94
w:grass, q:133
w:grateful, q:41
w:grave, q:243
w:gravestone, q:4
w:graveyard, q:16
w:great, q:1000
w:green, q:240
w:greengrocer, q:1
w:greeting, q:11
w:grey, q:100
w:grill, q:1
w:grip, q:37
w:grocer, q:4
w:groom, q:8
w:ground, q:260
w:group, q:156
w:grow, q:604
w:grumble, q:5
w:guarantee, q:34
w:guard, q:69
w:guerrilla, q:5
w:guess, q:75
w:guest, q:55
w:guide, q:72
w:guilt, q:86
w:guitar, q:10
w:gulf, q:20
w:gum, q:14
w:gun, q:92
w:guy, q:89
w:habit, q:195
w:habitat, q:6
w:hail, q:33
w:hair, q:205
w:half, q:393
w:hall, q:75
w:halt, q:15
w:ham, q:7
w:hammer, q:23
w:hand, q:852
w:hand grenade, q:1
w:handicap, q:9
w:handkerchief, q:8
w:handle, q:37
w:handsome, q:37
w:handwriting, q:2
w:hang, q:234
w:hang on, q:26
w:hangar, q:1
w:happen, q:401
w:happy, q:373
w:harbour, q:6
w:hard, q:475
w:hardly, q:207
w:harm, q:86
w:harmful, q:18
w:harvest, q:39
w:haste, q:41
w:hat, q:79
w:hate, q:295
w:have, q:1000
w:hawk, q:21
w:hazard, q:15
w:head, q:510
w:headache, q:10
w:headline, q:7
